standard_number,title,scope_description,category,latest_version,year_published,source,needs_review,review_reason
IS:2720 (Part .I) 1983,Preparation of dry sample (soil),Preparation of dry sample (soil),Uncategorized,,1983,wikipedia_civil_codes,True,scope_too_short (5 words)
IS:2720 (Part .II) 1973,Determination of water content (moisture content),Determination of water content (moisture content),Water & Environment,,1973,wikipedia_civil_codes,True,scope_too_short (6 words)
IS: 2720 (Part. III) 1980,Determination of specific gravity of fine-grained soil  Sect/1,"Determination of specific gravity of fine, medium & coarse-grained soil.  Sect/2",Food & Agriculture,,1980,wikipedia_civil_codes,False,
IS:2720 (Part.4) 1985,Grain size analysis,Grain size analysis,Food & Agriculture,,1985,wikipedia_civil_codes,True,scope_too_short (3 words)
IS:2720 (Part.5) 1985,Determination of Liquid and plastic limit,Determination of Liquid and plastic limit,Plastics & Rubber,,1985,wikipedia_civil_codes,True,scope_too_short (6 words)
IS: 2720 (Part. VI) 1987,Determination of shrinkage factors,Determination of shrinkage factors,Uncategorized,,1987,wikipedia_civil_codes,True,scope_too_short (4 words)
IS: 2720 (Part. VII) 1980,Determination of water content - dry density relation using light compaction,Determination of water content - dry density relation using light compaction,Water & Environment,,1980,wikipedia_civil_codes,False,
IS:2720 (Part.8) 1983,Determination of water content - dry density relation using heavy compaction,Determination of water content - dry density relation using heavy compaction,Water & Environment,,1983,wikipedia_civil_codes,False,
IS:2720 (Part IX) 1971,Determination of water content - dry density relation using constant wt. soil method,Determination of water content - dry density relation using constant wt. soil method,Water & Environment,,1971,wikipedia_civil_codes,False,
IS: 2720 (Part. X) 1991,Determination of Unconfined compressive strength,Determination of Unconfined compressive strength,Uncategorized,,1991,wikipedia_civil_codes,True,scope_too_short (5 words)
IS:2720(Part. XI) 1971,Determination of shear strength parameters(tri-axial) with out measurement of pore pressure parameters(Tri-axial compaction),Determination of shear strength parameters(tri-axial) with out measurement of pore pressure parameters(Tri-axial compaction),Mining & Minerals,,1971,wikipedia_civil_codes,False,
IS: 2720 (Part. XII) 1981,Determination of shear strength parameters (Tri-axial compaction),Determination of shear strength parameters (Tri-axial compaction),Uncategorized,,1981,wikipedia_civil_codes,True,scope_too_short (7 words)
IS: 2720 (Part. XIII) 1986,Direct shear test,Direct shear test,Uncategorized,,1986,wikipedia_civil_codes,True,scope_too_short (3 words)
IS:2720 (Part.14) 1983,Determination of Density Index (R.D) of cohesionless soil,Determination of Density Index (R.D) of cohesionless soil,Uncategorized,,1983,wikipedia_civil_codes,True,scope_too_short (8 words)
IS:2720 (Part.15) 1986,Determination of consolidation properties,Determination of consolidation properties,Uncategorized,,1986,wikipedia_civil_codes,True,scope_too_short (4 words)
IS:2720 (Part.17) 1986,Determination of permeability,Determination of permeability,Uncategorized,,1986,wikipedia_civil_codes,True,scope_too_short (3 words)
IS:2720 (Part.28) 1974,"Determination of dry density of soils, in place by the sand replacement method","Determination of dry density of soils, in place by the sand replacement method",Cement & Construction,,1974,wikipedia_civil_codes,False,
IS:2720 (Part.29) 1975,"Determination of dry density of soils, in place by the core-cutter method","Determination of dry density of soils, in place by the core-cutter method",Mining & Minerals,,1975,wikipedia_civil_codes,False,
IS:2720 (Part.30) 1980,Laboratory vane shear test,Laboratory vane shear test,Uncategorized,,1980,wikipedia_civil_codes,True,scope_too_short (4 words)
IS:2720 (Part.33) 1971,Determination of the density in place by the ring and water replacement method,Determination of the density in place by the ring and water replacement method,Cement & Construction,,1971,wikipedia_civil_codes,False,
IS:1498 1970,Classification and identification of soils for General Engineering purposes,Classification and identification of soils for General Engineering purposes,Mechanical,,1970,wikipedia_civil_codes,True,scope_too_short (9 words)
IS 13270:2013,"covers fibers intended for use in fiber-reinforced concrete, in all types of concrete and mortar, including sprayed concrete, flooring, precast, in situ and repair concretes","covers fibers intended for use in fiber-reinforced concrete, in all types of concrete and mortar, including sprayed concrete, flooring, precast, in situ and repair concretes",Cement & Construction,,2013,wikipedia_civil_codes,False,
IS 2720,(All Parts) [ 1 ],(Cant say's) all Properties and Testing,Uncategorized,,,wikipedia_civil_codes,True,scope_too_short (6 words)
IS: 2386,methods of tests for aggregate for concrete. (nine parts),methods of tests for aggregate for concrete. (nine parts),Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (9 words)
IS: 2430,methods of sampling,methods of sampling,Uncategorized,,,wikipedia_civil_codes,True,scope_too_short (3 words)
IS: 4082,specifications for storage of materials,specifications for storage of materials,Uncategorized,,,wikipedia_civil_codes,True,scope_too_short (5 words)
IS: 455,specifications for PSC (Portland slag cement),specifications for PSC (Portland slag cement),Cement & Construction,Amendments: 6,1989,wikipedia_civil_codes;archive_org_bis,True,scope_too_short (6 words)
IS: 1489,specifications for PPC (Portland pozzolana cement),specifications for PPC (Portland pozzolana cement),Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (6 words)
IS: 6909,specifications for SSC (super-sulphated cement),specifications for SSC (super-sulphated cement),Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (5 words)
IS: 12330,specifications for SRPC (sulphate resistant Portland cement),specifications for SRPC (sulphate resistant Portland cement),Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (7 words)
IS: 6452,specifications for HAC for structural use (high alumina cement),specifications for HAC for structural use (high alumina cement),Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (9 words)
IS: 13311,ultrasonic testing of concrete structures,ultrasonic testing of concrete structures,Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (5 words)
IS: 4925,specifications for concrete batching plant,specifications for concrete batching plant,Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (5 words)
IS: 3025,tests on water samples,Methods Of Sampling And Test Physical And Chemical For Water And Wastewater Part 59 Manganese Second Revision,Water & Environment,Amendments: 0,2023,wikipedia_civil_codes;archive_org_bis,False,
IS: 4990,specifications for plywood formwork for concrete,specifications for plywood formwork for concrete,Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (6 words)
IS: 9103,specifications for concrete admixtures,specifications for concrete admixtures,Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (4 words)
IS: 3495,methods of testing of bricks,Burnt Clay Building Bricks — Methods of Tests Part 2 Determination of Water Absorption ( Fourth Revision ),Cement & Construction,Amendments: 0,2020,wikipedia_civil_codes;archive_org_bis,False,
IS: 432,; 226; 2062 – mild steel of grade I,; 226; 2062 – mild steel of grade I,Metallurgy,,2062,wikipedia_civil_codes,True,scope_too_short (9 words)
IS: 1785,specifications for plain hard drawn steel wire fabric for prestressed concrete,specifications for plain hard drawn steel wire fabric for prestressed concrete,Cement & Construction,,,wikipedia_civil_codes,False,
IS: 2090,specifications for high tensile strength steel bar for prestressed concrete,specifications for high tensile strength steel bar for prestressed concrete,Cement & Construction,,2090,wikipedia_civil_codes,False,
IS: 226,specifications for rolled steel made from structural steel,specifications for rolled steel made from structural steel,Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (8 words)
IS: 2932,specifications for synthetic enamel paint for structural steel,specifications for synthetic enamel paint for structural steel,Cement & Construction,,,wikipedia_civil_codes,True,scope_too_short (8 words)
IS: 12118,specifications for Polysulphide sealants,specifications for Polysulphide sealants,Uncategorized,,,wikipedia_civil_codes,True,scope_too_short (4 words)
IS 2925,Specification for Industrial Safety Helmets(Bi-Lingual),Specification for Industrial Safety Helmets(Bi-Lingual),Cement & Construction,Amendments: 4,1984,archive_org_bis,True,scope_too_short (5 words)
