standard_number,standard_number_raw,is_number,part,title,scope_description,scope_source,scope_usable,category,latest_version,version_source,year_published,certification_type,mandatory,certification_source,qco_reference,certification_basis,certification_reference,source_url,confidence,review_severity,amendment_count,source,review_reason
IS 2629,IS 2629,2629,,Recommended Practice for Hot-Dip Galvanizing of Iron and Steel,1.1 This standard recommends important guidelines for general hot-dip galvanizing of iron and steel.,scraped,False,Mechanical,IS 2629:1985,derived_from_year,1985,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2629.1985,medium,blocker,3,archive_org_bis;archive_org_scope,scope_too_short (14 words);certification_not_determined
IS 2759,IS 2759,2759,,Higher tensile steel point hooks for use with wire rope thimbles,1.1 This standard covers the requirements of higher tensile steel point hooks with eye for use with wire rope thimbles conforming to IS:2315-1963t.,scraped,True,Mechanical,IS 2759:1969,derived_from_year,1969,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2759.1969,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2783,IS 2783,2783,,"Balaclava Caps, Wool, Plain-knitted","1.1 This standard prescribes the constructional details and other particulars of plain-knitted balaclava caps made from worsted yarn. 1.2 This standard does not specify the general appearance, lustre, feel, type of finish, shade and colour combination of balaclava caps ( see also 4.3 ).",scraped,True,Textiles,IS 2783:1976,derived_from_year,1976,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2783.1976,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 216,IS 216,216,,Coal tar pitch,"This standard covers the requirements, methods of sampling and test for the range of four grades of coal tar pitch from soft to hard consistencies with softening points varying from 45° to 95°C and for the range of three grades of special coal tar pitch from binder to extra hard consistencies with softening points varying from 86° to 130°C intended for the production of water proofing protective and binding compounds employed in masonry, steel, timber and concrete structures and also for the preparation of roofing felts, besides their use as binder in the production of a variety of carbon products such as graphite electrodes, Soderberg or pre-baked anodes and carbon or graphite l)locks.",scraped,True,Petroleum,IS 216:2006,derived_from_year,2006,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.216.2006,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 1242,IS 1242,1242,,Handloom Cotton Shirting,"1.1 This standard prescribes the constructional particulars and Ather requirements of handloom cotton shirting, bleached, dyed, striped, checked or printed. i 1.2 This standard does not specify the general appearance, feel, finiih or weaving and printing pattern, etc, of the shirting. \ ♦Specification for grey cotton yarn ( second revision ) . fRules for rounding off numerical values ( revised ). ISt 1242- 1975",scraped,True,Textiles,IS 1242:1975,derived_from_year,1975,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.1242.1975,medium,minor,2,archive_org_bis;archive_org_scope,certification_not_determined
IS 12437,IS 12437,12437,,Zirconium powder for use in explosive and pyrotechnic industry,1.1 This standard prescribes the requirements and the method of sampling and test for zirconium powder for use in explosive and pyrotechnic industry.,scraped,True,Chemicals,IS 12437:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12437.1988,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 12448-2-3,IS 12448-2-3,12448,2-3,"General Examination, Electrical Continuity and Contact Resistance Tests, Insulation Tests and Voltage Stress Tests, Section 3: Insulation Tests","1.1 This standard ( Part 1 ) is intended to be used as a basic specification. It contains basic test methods and procedures applicable to electrome- chanical components, with the following families or sub-families: a) Connections, solderless; b) Connectors for frequencies below 3 MHz; c) Sockets for electronic tubes; d) Sockets for other plug-in-devices; e) Switches, lever; f) Switches, push-button; g) Switches, rotary; h) Switches, sensitive; j) Switches, thermal time-delay; and k) Switches, thermostatic. 1.2 Other electromechanical devices that are not specifically covered by this standard include: a) capacitors, variable; b) connectors for frequencies above 3 MHz; c) inductors, variable; d) resistors, variable; e) solenoids; f) switches, magnetically operated; and g) switches, proximity.",scraped,True,Electronics,IS 12448-2-3:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12448.1.1988,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2987,IS 2987,2987,,Direction of operation of controls for machine tools - Recommendations,Direction of operation of controls for machine tools - Recommendations,title_fallback,False,Mechanical,IS 2987:1992,derived_from_year,1992,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2987.1992,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (10 words);certification_not_determined;missing_amendment_count
IS 2990,IS 2990,2990,,Tenons,Tenons,title_fallback,False,Mechanical,IS 2990:1986,derived_from_year,1986,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2990.1986,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (1 words);certification_not_determined;missing_amendment_count
IS 2997,IS 2997,2997,,Air circulator type electric fans and regulators,"1.1 This standard specifies the requirements and methods of test of air circulator fans, oscillating and non-oscillating, and their associated *Since revised. tRules for rounding off numerical values {rtvised). IS:2997-1964 regula'tors suitable for use on single phase ac circuits and dc circuits not exceeding 250 V, intended for normal domestic and similar uses.",scraped,True,Electrical,IS 2997:1964,derived_from_year,1964,BIS Product Certification,True,public_knowledge,,Electric fans and regulators - household appliance under mandatory certification,,https://archive.org/details/gov.in.is.2997.1964,high,none,8,archive_org_bis;archive_org_scope,
IS 3005-2,IS 3005-2,3005,2,"Grey Cast Iron Ingot Moulds, Stools and Slag Ladles, Part II: Grey Cast Iron Ingot Moulds of Mass More than Eight Tonnes","1,1 This standard ( Part II ) covers the requirements for grey cast iron ingot moulds of mass more than eight tonnes.",scraped,True,Mechanical,IS 3005-2:1979,derived_from_year,1979,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3005.2.1979,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 3014,IS 3014,3014,,Ferroniobium (Ferrocolumbium),IS No. Title 1387 : 1993 General requirements for the supply of metallurgical materials ( second revision ) 1472 : 1977 Methods of sampling ferro-alloys for determination of chemical composition (first revision ) 3,scraped,True,Mechanical,IS 3014:1993,derived_from_year,1993,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3014.1993,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2911-1-1,IS 2911-1-1,2911,1-1,"DESIGN AND CONSTRUCTION OF PILE FOUNDATIONS — CODE OF PRACTICE, Part 1: CONCRETE PILES, Section 1: Driven Cast In-situ Concrete Piles","1.1 This standard (Part 2) covers the design and construction of timber piles for earth retaining structures, shore protection, slope protection, compaction of ground or to support structures up to two storeys. 1.2 It also covers timber piles used for load bearing structures, however, in such cases, timber piles capped with a continuous reinforced cement concrete beam shall be used below the load bearing walls. 1.3 Sawn timber piles, generally used in sheet piling, are not covered in this standard.",scraped,True,Cement & Construction,IS 2911-1-1:2010,derived_from_year,2010,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2911.2.2021,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2911-2,IS 2911-2,2911,2,"Code of practice for design and construction of pile foundations, Part 2: Timber piles","1.1 This standard (Part 2) covers the design and construction of timber piles for earth retaining structures, shore protection, slope protection, compaction of ground or to support structures up to two storeys. 1.2 It also covers timber piles used for load bearing structures, however, in such cases, timber piles capped with a continuous reinforced cement concrete beam shall be used below the load bearing walls. 1.3 Sawn timber piles, generally used in sheet piling, are not covered in this standard.",scraped,True,Cement & Construction,IS 2911-2:1980,derived_from_year,1980,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2911.2.2021,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 12567,IS 12567,12567,,Pneumatic handling equipment - Bends - Dimensions,"This Indian Standard specifies dimensions of bends for use in pneumatic handling equipment for loose bulk materials in three series; light, medium and heavy service duties.",scraped,True,Mechanical,IS 12567:1989,derived_from_year,1989,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12567.1989,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 12614-1,IS 12614-1,12614,1,"Methods of Chemical Analysis of Ferromolybdenum, Part 1: Determination of Molybdenum",This standard (Part 1) covers the 8 hydroxy- quinoline ( gravimetric ) and permanganate ( titration ) method for determination of molyb- denum in ferromolybdenum.,scraped,True,Chemicals,IS 12614-1:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12614.1.1988,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 12614-4,IS 12614-4,12614,4,"Methods of Chemical Analysis of Ferro-molybdenum, Part 4: Determination of Sulphur",This standard (Part 1) covers the 8 hydroxy- quinoline ( gravimetric ) and permanganate ( titration ) method for determination of molyb- denum in ferromolybdenum.,scraped,True,Chemicals,IS 12614-4:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12614.1.1988,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 12451,IS 12451,12451,,Margarine,1.1 This standard prescribes the requirements and the methods of sampling and test for margarine.,scraped,True,Food & Agriculture,IS 12451:1988,derived_from_year,1988,BIS Product Certification,True,public_knowledge,,Margarine - food product under mandatory certification,,https://archive.org/details/gov.in.is.12451.1988,high,none,2,archive_org_bis;archive_org_scope,
IS 12452,IS 12452,12452,,Code of practice for packaging of microscopes for export,Code of practice for packaging of microscopes for export,title_fallback,False,Mechanical,IS 12452:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12452.1988,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (9 words);certification_not_determined;missing_amendment_count
IS 12473-5,IS 12473-5,12473,5,"Chemical Analysis of Hardmetals by Flame Atomic Absorption Spectrometry, Part 5: Determination of cobalt, iron, manganese, molybdenum, nickel, titanium and vanadium in contents from 0.5 to 2 percent (","1.1 This standard ( Part 5 ) specifies the method to be used for the determination of cobalt, iron, manga- nese, molybdenum, nickel, titanium and vana- dium contents in hardmetals within the range 0*5 to 2 percent ( fnjm ) by flame atomic absorption spectrometry. 1.2 General requirements concerning the field of application, principle, interfering elements, apparatus, sampling and test report are given in Part 1 of this standard. Note — Determination of element contents in high concentration by the atomic absoption spectrometry method yields a wider scattering of results than are obtainable by other methods.",scraped,True,Chemicals,IS 12473-5:1988,derived_from_year,1988,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12473.5.1988,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3063,IS 3063,3063,,Fasteners - Single coil rectangular section spring lock washers,This standard covers requirements for single coil rectangular section spring lock washers suitable for use with bolt/nut assemblies involv- ing fasteners of property class 5*8 or less in the size range 2 to 100 mm.,scraped,True,Mechanical,IS 3063:1994,derived_from_year,1994,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3063.1994,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 3064,IS 3064,3064,,Hand made drawing paper,1.1 This standard prescribes the requirements and methods of sampling and test for hand-made drawing paper. *Rules for rounding off numerical values ( revised ). 3 IS : 3064 - 1986,scraped,True,Chemicals,IS 3064:1986,derived_from_year,1986,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3064.1986,medium,minor,2,archive_org_bis;archive_org_scope,certification_not_determined
IS 3075-2,IS 3075-2,3075,2,"Circlips, Part 2: For Bores","1.1 Covers the requirement of circlips for bores of nominal diameter range 8 to 300 mm in normal type and 20 to 100 mm in heavy type. 1.2 Additional information like load-bearing capacity, shape of groove and fitting of circlip have been given in Appendix A. 2. Symbols 2.1 For the purpose of this standard the following letter symbols shall apply: a — radial width of the lug b — beam ( radial width of circlip opposite the aperture ) c — distance between measuring plates for testing spiral flatness di— bore diameter rfi — groove diameter dz — external diameter of the circlip not under tension di — minimum symmetrical diameter of bore during fitting di — diameter of the lug holes £ — modulus of elasticity Fh —load-bearing capacity of groove at a yield point of the grooved material of 200 N/mm> (seeA-1.1 ) Fa — load-bearing capacity of circlip with sharp-edged abutment of the pressure part ( see A-1.2). ^Ra — load-bearing capacity of circlip for abutment with edge chamfering distance g ( see A-1.2) ''•L — yl^'d point g — edge chamfering distance of the surface abutting against the circlip h — distance between the plates when testing conical deformation m — groove width n — edge margin r — curvature In the groove base or test Jaws s —thickness of the circlip t — groove depth with nominal sizes of di and dt 3. Dimensions, Tolerances and Design Data 3.1 Dimensions, tolerances and design data for clrclipSi normal type shall be as given in Table 1» read with Fig, 1, 3.2 Dimensions, tolerances and design data for circlips, heavy type shall be as given in Table 2, read with Fig. 1. Adopted 25 November 19Se April 1988. BIS Ore BUREAU OF INDIAN STANDARDS MANAK BHAVAN. BAHADUR SHAH ZAFAR MARG N6W DELHI 110009 IS:307S(Part2)-1986 TABLE 1 DIMCNSIONS AND DESIGN DATA FOR CIRCLIP8 FOR BORES - (C/a(/se3.1;and Fig. 1 ) NORMAtTYPE Ail dimensions In millimetres. is CIrcllp 1 Oroov* 1 De",scraped,True,Mechanical,IS 3075-2:1986,derived_from_year,1986,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3075.2.1986,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 3141,IS 3141,3141,,Starter Motors for internal combustion engines used for automotive and other applications,This standard covers the basic mechanical and electrical requirements and methods of test for 12 and 24 V dc starter motors for internal combustion engines used for automotive and other applications.,scraped,True,Mechanical,IS 3141:2007,derived_from_year,2007,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3141.2007,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3156-3,IS 3156-3,3156,3,"Voltage transformers, Part 3: Protective voltage transformers","This standard ( Part 3 ), covers additional require- ments for protective voltage transformers.",scraped,False,Electrical,IS 3156-3:1992,derived_from_year,1992,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3156.3.1992,medium,blocker,,archive_org_bis;archive_org_scope,scope_too_short (14 words);certification_not_determined;missing_amendment_count
IS 3160:2022,IS 3160 : 2022,3160,,Tur Chuni as Livestock Feed Ingredient-Specification,This standard prescribes the reguirements and the methods of sampling and test for Tur or Arhar (Cajanus cajan L.) Chuni used as livestock feed ingredient.,scraped,True,Food & Agriculture,IS 3160:2022,derived_from_year,2022,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3160.2022,medium,minor,0,archive_org_bis;archive_org_scope,certification_not_determined
IS 3170-1,IS 3170-1,3170,1,"Internal Combustion Engines - Fuel Injection Nozzles, Part 1: Injection Nozzles - Size 'S'","This international Standard specifies the essential dimensional requirements for size ""S"" fuel nozzles used in diesel engines. These requirements allow the assembly and interchangeability of the nozzles in the corresponding nozzle holders. This International Standard is applicable to size ""S"" nozzles, which comprise hole type, long-stem nozzles (types A1 and A2) and pintle nozzles (type B). NOTE Type A1 and type B nozzles are the preferred types. The non-preferred hole type, short-stem nozzle, type C, is shown in annex A. 2 Normative references The following normative documents contain provisions which, through reference in this text, constitute provisions of this International Standard. For dated references, subsequent amendments to, or revisions of, any of these publications do not apply. However, parties to agreements based on this International Standard are encouraged to investigate the possibility of applying the most recent editions of the normative documents indicated below. For undated references, the latest edition of the normative document referred to applies. Members of ISO and IEC maintain registers of currently valid International Standards. ISO 2699, Diesel engines — Flange-mounted fuel injectors, size ""S""— Types 2, 3, 4, 5 and 6. ISO 7026, Diesel engines — Screw-in injection nozzle holders, types 20, 21, 21.1 and 27 for pintle nozzle size ""S"", type ""B'\ ISO 7030, Road vehicles — Screw-mounted injection nozzle holders, types 12, 13, 14, 15, 16, 17, 18 and 19. IS 3170 (Parti): 2006 ISO 2697: 1999 3 Dimensions and tolerances See Figures 1 and 2 and Table 1. Key 1 Fuel feed groove 2 Injection holes a The reference axis for the nozzle passes through the centre of the circle of diameter A 7: b A fuel feed groove is necessary only on nozzles without dowel holes and on nozzles having multiple fuel feed holes. c This dimension determines the distance between the reference plane YY' and the point of intersectio",scraped,True,Mechanical,IS 3170-1:2006,derived_from_year,2006,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3170.1.2006,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 326-11,IS 326-11,326,11,Methods of test for natural and synthetic perfumery materials (Part 11) Determination of carbonyl value and content of carbonyl compounds,This standard (Part 2) prescribes the special tests for the detection of common impurities and adulterants in natural and synthetic perfumery materials.,scraped,True,Petroleum,IS 326-11:1986,derived_from_year,1986,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.326.2.2023,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 326-19,IS 326-19,326,19,"Method of Sampling and Test for Natural and Synthetic Perfumery Materials, Part 19: GAS Chromatograpfilc Analysis of Perfumery Materials",This standard (Part 2) prescribes the special tests for the detection of common impurities and adulterants in natural and synthetic perfumery materials.,scraped,True,Petroleum,IS 326-19:1998,derived_from_year,1998,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.326.2.2023,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 326-21,IS 326-21,326,21,"Methods of Sampling and Test for Natural and Sythetic Perfumery Materials, Part 21: Determination of Water Content - Karl Fischer Method",This standard (Part 2) prescribes the special tests for the detection of common impurities and adulterants in natural and synthetic perfumery materials.,scraped,True,Petroleum,IS 326-21:2001,derived_from_year,2001,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.326.2.2023,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3262:2023,IS 3262 : 2023,3262,,Textiles - Pilot Lead Line - Specification,1.1 This standard prescribes the requirements for pilot lead line of 25 mm size.,scraped,False,Textiles,IS 3262:2023,derived_from_year,2023,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3262.2023,medium,blocker,0,archive_org_bis;archive_org_scope,scope_too_short (14 words);certification_not_determined
IS 327,IS 327,327,,Oil of Lemongrass,"This standard prescribes the requirements and the methods of test for the material commercially known as the oil of lemongrass or the East Indian Oil of lemongrass. The material is largely used in the extraction of citral, the chief constituent of the oil and the starting material for the manufacture of important ion- ones. It is also employed in the preparation of lemon-like perfumes, germicides, etc.",scraped,True,Petroleum,IS 327:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.327.1991,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 3279,IS 3279,3279,,General requirements for mushroom ventilators,1.1 This standard deals with the general requirements of mushroom ventilators. ♦Under print. fRulcs for rounding off numerical values ( rwiud ). IS: 3279 -1966,scraped,True,Mechanical,IS 3279:1966,derived_from_year,1966,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3279.1966,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3288-1,IS 3288-1,3288,1,"Glossary of Terms Relating to Copper and Copper Alloys, Part 1: Materials","Glossary of Terms Relating to Copper and Copper Alloys, Part 1: Materials",title_fallback,False,Mechanical,IS 3288-1:1986,derived_from_year,1986,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3288.1.1986,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (12 words);certification_not_determined;missing_amendment_count
IS 3312:2021,IS 3312 : 2021,3312,,Steel Shelving Cabinets ( Adjustable Type ) - Specification ( Third Revision ),"This standard covers the requirements for materials, sizes, construction and finish of adjustable steel shelving cabinets with hinged doors with or without the provision of a locker.",scraped,True,Metallurgy,IS 3312:2021,derived_from_year,2021,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3312.2021,medium,minor,0,archive_org_bis;archive_org_scope,certification_not_determined
IS 3318,IS 3318,3318,,General requirements for surgical scalpels and knives,l-lThis standard covers the general requirements for different kinds of scalpels and knives used in surgical work.,scraped,True,Medical & Healthcare,IS 3318:1965,derived_from_year,1965,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3318.1965,medium,minor,1,archive_org_bis;archive_org_scope,certification_not_determined
IS 3322-1,IS 3322-1,3322,1,"Water-resistant clothing, Part 1: PVC-coated fabrics","1.1 This standard ( Part 1 ) specifies requirements and methods of sampling and test for cotton and nylon fabrics coated on one or both sides with a suitably plasticized coating, pigmented or otherwise, of vinyl chloride or copolymer, the major constituent of which is vinyl chloride, and which are suitable for use in the making up of water resistant clothing.",scraped,True,Safety & PPE,IS 3322-1:1987,derived_from_year,1987,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3322.1.1987,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3326,IS 3326,3326,,Cotton Stockinette,"1.1 This standard prescribes the requirements of scoured cotton stocki- nette. ♦Rules for rounding off numerical values ( revised ) . 3 IS : 3326 - 1978 1.2 This standard does not prescribe the type of finish, feel, general appearance, etc, of the stockinette ( see also 3.2 ). 2, MANUFACTURE 2.1 Yarn — The cotton yarn used for knitting stockinette shall be sofr and evenly spun with 600 to 700 turns per metre. The approximate count shall be 20s (30 tex). 2*2 Stockinette — The stockinette shall be plain-knitted and tubular in shape. It shall be well scoured and free from any filling material. It shall be reasonably free from manufacturing defects, such as large mends, ladders, dropped stitches, holes, cuts, tears and chemical damage. 3. REQUIREMENTS 3.1 The stockinette shall conform to the requirements as given in Table 1. TABLE 1 REQUIREMENTS OF COTTON STOCKINETTE Si, Characteristic Rkquiremknt Method of No. Test, Rkf to (1) (2) (3) (4) i) Wales/dm 360 ± 20 A-l ») Courses/dm 55 ± 5 A-2 iii) Mass, g/m 40 ± 2-5 IS : 1964-1970* iv) Mai width ( tubular ), cm 28 i 0-6 IS : 19.54- 1 969f v) Length, m 30 or as agreed IS : 1954-I969f VI) Scouring loss, percent, Max 2'0 IS : 1383-1377$ ( Mild method ) vii) pH value of aqueous extract 6 to 10 IS : 1390-196J§ ( Cold method ) ♦Methods for determination of weight per square metre and weight per linear metre of fabrics ( first revision ). tMethod for determination of length and width of fabrics ( first revision ). ^Method for determination of scouring loss in grey and finished cotton textile materials ( first revision ). §Methods of determination of pH value of aqueous extracts of textile materials. 3.2 Sealed Sample — If, in order to illustrate or specify the indetermi- nable characteristics, such as type of finish, feel, general appearance, e",scraped,True,Textiles,IS 3326:1978,derived_from_year,1978,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3326.1978,medium,minor,3,archive_org_bis;archive_org_scope,certification_not_determined
IS 3179,IS 3179,3179,,Engineering metrology - Feeler gauges,Engineering metrology - Feeler gauges,title_fallback,False,Mechanical,IS 3179:1990,derived_from_year,1990,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3179.1990,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (5 words);certification_not_determined;missing_amendment_count
IS 3188,IS 3188,3188,,Characteristics of string insulator units,"1.1 This standard applies to string insulator units of the cap and pin type with porcelain insulating parts intended for ac overhead power lines with nominal voltage greater than 1 000 V and a frequency not greater than 100 Hz. 1.2 This standard applies to string insulator units of the cap and pin type with ball and socket couplings or clevis and tongue couplings. 1.3 This standard applies to string insulator units for use on overhead power lines situated in atmospheres with no significant pollution. It may be applied to insulators intended for polluted atmospheres, in which case it will be necessary to modify certain dimensions. In any case, it is recommended that the standardized mechanical characteristics of this standard should be followed in such cases also.",scraped,True,Electrical,IS 3188:1980,derived_from_year,1980,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3188.1980,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3212,IS 3212,3212,,"Engineers' drawings instruments, lengthening bars",This standard covers the requirements of leng- thening bars for engineers 9 drawing instruments*,scraped,False,Mechanical,IS 3212:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3212.1991,medium,blocker,,archive_org_bis;archive_org_scope,scope_too_short (14 words);certification_not_determined;missing_amendment_count
IS 12767,IS 12767,12767,,Liquid soap for cleaning painted surfaces,1.1 This standard prescribes the requirements and methods of sampling and test for liquid soap for cleaning painted surfaces.,scraped,True,Chemicals,IS 12767:1989,derived_from_year,1989,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12767.1989,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 12771,IS 12771,12771,,General characteristics for nuclear reactor instrumentation,General characteristics for nuclear reactor instrumentation,title_fallback,False,Electronics,IS 12771:1989,derived_from_year,1989,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12771.1989,low,blocker,,archive_org_bis;archive_org_scope,scope_equals_title;scope_too_short (6 words);certification_not_determined;missing_amendment_count
IS 12778,IS 12778,12778,,"Hot Rolled Parallel Flange Steel Sections for Beams, Columns and Bearing Piles - Dimensions and Section Properties","This standard covers the nominal dimensions; mass and sectional properties of hot rolled parallel flange beams, columns and bearing piles.",scraped,True,Cement & Construction,IS 12778:2004,derived_from_year,2004,BIS Product Certification,True,public_knowledge,,Hot rolled parallel flange steel sections - steel QCO framework,,https://archive.org/details/gov.in.is.12778.2004,high,minor,,archive_org_bis;archive_org_scope,missing_amendment_count
IS 13033,IS 13033,13033,,Straw Holding Clips,"1.1 This standard prescribes the material, dimen- sions and other requirements for straw holding clips.",scraped,True,Food & Agriculture,IS 13033:1990,derived_from_year,1990,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13033.1990,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13050,IS 13050,13050,,Internal Combustion Engines - Valve Seat Inserts,"1.1 This standard specifies the requirements for different types of valve seat inserts, shape and dimensional tolerances used in Internal Com- bustion Engines including automotive engines. This standard covers valve seat inserts up to and including 120 mm outside diameter. 1.2 This standard covers both finished and semi- finished valve seat inserts. The latter will be interference fitted in the counter bore provided in the cylinder head casting and undergo seat cutting to the size. 1.3 This standard does not cover the semi- finished valve seat inserts which are cast in-situ in aluminium cylinder heads.",scraped,True,Mechanical,IS 13050:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13050.1991,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13057,IS 13057,13057,,Potassium iodate,This standard prescribes requirements and methods of sampling and test for potassium iodate.,scraped,False,Chemicals,IS 13057:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13057.1991,medium,blocker,1,archive_org_bis;archive_org_scope,scope_too_short (13 words);certification_not_determined
IS 13067,IS 13067,13067,,Impregnants for power capacitors,!•! This standard covers the requirements and methods of tests for liquids used as impregnants in power capacitors conforming to IS 2834 : 1986.,scraped,True,Electrical,IS 13067:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13067.1991,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
IS 13082-2,IS 13082-2,13082,2,"Bulk handling equipment - Ship unloader - Gantry mounted grab type - Code of practice for design, manufacture and erection, Part 2 Electro-mechanical requirements","1,1 This Indian Standard covers electro-mecha- nical requirements, inspection and testing re- quirements relating to the design, manufacture, and erection of gantry mounted grab type ship unloader provided with horizontal boom and grab-bucket.",scraped,True,Mechanical,IS 13082-2:1991,derived_from_year,1991,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.13082.2.1991,medium,minor,,archive_org_bis;archive_org_scope,certification_not_determined;missing_amendment_count
