standard_number,standard_number_raw,is_number,part,title,scope_description,scope_source,scope_usable,category,latest_version,version_source,year_published,certification_type,mandatory,certification_source,qco_reference,certification_basis,certification_reference,source_url,confidence,review_severity,amendment_count,source,review_reason
IS 2386-2:1963,IS 2386 (Part II) 1963,2386,2,Methods of test for aggregate for concrete estimation of deleterious materials and organic impurities,"1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-2:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2386-3:1963,IS 2386 (Part III) 1963,2386,3,"Methods of test for aggregate for specific gravity, density, voids, absorption and bulking","1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-3:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2386-4:1963,IS 2386 (Part IV) 1963,2386,4,Methods of test for aggregate for Mechanical properties,"1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-4:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2386-5:1963,IS 2386 (Part V) 1963,2386,5,Methods of test for aggregate Soundness,"1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-5:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2386-6:1963,IS 2386 (Part VI) 1963,2386,6,Methods of test for aggregate measuring mortar making properties of fine aggregates,"1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-6:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2386-7:1963,IS 2386 (Part VII) 1963,2386,7,Methods of test for aggregate for alkali-aggregate reactivity,"1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-7:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2386-8:1963,IS 2386 (Part VIII) 1963,2386,8,Methods of test for aggregate for petrographic examination,"1.1 This standard ( Part I ) covers the following tests for aggregates for concrete: a) Sieve analysis, b) Determination of materials finer than 75-micron, c) Determination of flakiness index, d) Determination of elongation index, and e) Determination of angularity number.",scraped,True,Cement & Construction,IS 2386-8:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2386.1.1963,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 5454:1978,IS 5454 - 1978,5454,,Method of sampling of clay building bricks,"1.1 This standard lays down methods for sampling and criteria for ascer- taining conformity of solid, hollow and perforated burnt clay building bricks to the relevant specifications. *RuIes for rounding off numerical values ( revised ). 3 IS : 5454 • 1978",scraped,True,Cement & Construction,IS 5454:1978,derived_from_year,1978,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.5454.1978,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 3495-1-4:1976,IS 3495 (Parts I TO iv) 1976,3495,1-4,Method of test for burnt-clay building bricks,This standard (Part 6) covers the procedure for testing modulus of rupture for the burnt clay bricks by flexural testing.,scraped,True,Cement & Construction,IS 3495-1-4:1976,derived_from_year,1976,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3495.6.2022,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 1077:1992,IS 1077 - 1992,1077,,Common burnt clay building bricks,"1.1 This standard lays down requirements for classification, general quality, dimensions and physical requirements of common burnt clay building bricks used in buildings. NOTE — Burnt clay bricks having compressive strength less than 40 N/mm* ( approx 400kgf/cm*) are covered in this standard and for higher strength, ieclS2l80 : 1988.",scraped,True,Cement & Construction,IS 1077:1992,derived_from_year,1992,BIS Product Certification,True,public_knowledge,,Common burnt clay building bricks - available under BIS product certification,,https://archive.org/details/gov.in.is.1077.1992,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 2116:1980,IS 2116 - 1980,2116,,Specification for sand for masonry mortars,"1.1 This standard covers the requirements of naturally occurring sands, crushed stone sands and crushed gravel sands used in mortars for construction of masonry.",scraped,True,Cement & Construction,IS 2116:1980,derived_from_year,1980,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2116.1980,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2250:1981,IS 2250 - 1981,2250,,Code of practice for preparation and use of masonry mortar,"1,1 This standard covers the preparation of masonry mortars and their use in masonry works. Note — Use of mud mortars, gypsum mortars and bituminous mortars is not covered in this standard.",scraped,True,Cement & Construction,IS 2250:1981,derived_from_year,1981,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2250.1981,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 516:1959,IS 516 - 1959,516,,"Specification for compressive strength , flexural strength","1.1 This standard covers tests for the determination of compressive strength, ftexural strength and modulus of elasticity of cement concrete.",scraped,True,Cement & Construction,IS 516:1959,derived_from_year,1959,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.516.1959,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 456,IS 456,456,,Code of Practices for plain and reinforced concrete etc.  – 2000,"1.1 This standard deals with the general structural use of plain and reinforced concrete. 1.1.1 For the purpose of this standard, plain concrete structures are those where reinforcement, if provided is ignored for determination of strength of the structure. 1.2 Special requirements of structures, such as shells, folded plates, arches, bridges, chimneys, blast resistant structures, hydraulic structures, liquid retaining structures and earthquake resistant structures, covered in respective standards have not been covered in this standard; these standards shall be used in conjunction with this standard.",scraped,True,Cement & Construction,IS 456:2000,derived_from_year,2000,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.456.2000,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 1199,IS 1199,1199,,Methods of sampling and analysis of concrete  – 1959,1.1 This standard covers the methods of taking samples of concrete and their analysis.,scraped,False,Cement & Construction,IS 1199:1959,derived_from_year,1959,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.1199.1959,medium,blocker,,wikipedia_civil_codes;archive_org_scope,scope_too_short (14 words);certification_not_determined;missing_amendment_count
IS 10262,IS 10262,10262,,Recommended Guide Lines for Concrete Mix Design  – 1982,"1.1 This standard provides the guidciinos for proportioning concrete mixes as per the requireircnts using the concrete making materials including other supplementary mateiials identified for this purpose. The proportioning is carried out to achieve specified characteristics at specified age, \vorkabi!it> of I'resh concrete and durability requirements. 1.2 This standard is applicable for ordinary and standard concrete grades only. 1.3 All requirements of IS 456 in so far as they apply, shall be deemed to form part of this standard.",scraped,True,Cement & Construction,IS 10262:1982,derived_from_year,1982,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.10262.2009,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 12200,IS 12200,12200,,Code of practice for the provision of water stops.  – 1987,This standard deals with the provision of PVC water- stops across ungrouted transverse contraction joints in masonry and concrete dams.,scraped,True,Water & Environment,IS 12200:1987,derived_from_year,1987,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.12200.2001,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 8543,IS 8543,8543,,Procedure for Testing Parts of -19,Procedure for Testing Parts of -19,title_fallback,False,Plastics & Rubber,,not_derivable,,Not determined,,not_assessed,,,,,low,blocker,,wikipedia_civil_codes,scope_equals_title;scope_too_short (6 words);missing_year;certification_not_determined;missing_source_url;missing_amendment_count
IS 1786,IS 1786,1786,,Specifications for HYSD bars.  – 1985,"1.1 This standard covers the requirements of deformed steel bars and wires for use as reinforcement in concrete, in the following strength grades: a) Fe415,Fe415D; b) Fe 500, Fe SOQD; c) Fe 550, Fe 550D; and d) Fe 600. NOTES 1 Ths Tigures following' the s^rnbol F? indiCiitc th? sncc^ficd minimum 0.2 percent proof stress or yield stress in N/mm-. 2 The letter D following the strength grade indicates the category with same specified minimum 0.2 percent proof stress/yield stres.s but with enhanced specified minimum percentage elongation. 1 .2 This standard allows the chemical composition and carbon equivalent to be limited so that the material can be readily welded by conventional welding procedures. Material not conforming to these limits is generally difficult to weld for which special care and precautions will have to be exercised, 1.3 This standard applies to hot-rolled steel without subsequent treatment, or to hot-rolled steel with controlled cooling and tempering and to cold-worked steel. The production process is at the discretion of the manufacturer. 1 .4 This standard also applies to reinforcing bars and wires supplied in coil form but the requirements of this Indian Standard apply to the straightened product. 1 .5 Tuis standard also applies to remforcing bars and wires which may be subsequently coated. 1.6 Deformed bars produced by re-rolling finished products such as plates and rails (virgin or used or scrap), or by rolling material for which the metallurgical history is not fully documented or not known, are not acceptable as per this Indian Standard.",scraped,True,Cement & Construction,IS 1786:1985,derived_from_year,1985,BIS Product Certification,True,qco_gazette,"Steel and Steel Products (Quality Control) Order, 2024 -- Ministry of Steel S.O. 574(E) dated 5 Feb 2024, Schedule 1 (IS 1786:2008)",,,https://archive.org/details/gov.in.is.1786.2008,medium,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 432-2:1966,IS 432 (P II) 1966,432,2,Specification for Mild Steel and Medium Tensile steel bars,1.1 This standard ( Part II ) covers the requirements of hard-drawn steel wire of medium strength for use as reinforcement in concrete.,scraped,True,Metallurgy,IS 432-2:1982,derived_from_year,1982,BIS Product Certification,True,public_knowledge,,Mild steel and medium tensile steel bars - steel QCO framework,,https://archive.org/details/gov.in.is.432.2.1982,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 5121,IS 5121,5121,,Method for Tensile testing of steel wires.  – 1972,This standard lays down the safety requirements for piling and other deep foundations as stated below: a) Safety measures while working with a piling rig; and b) Safety measures while preparing other deep foundations.,scraped,True,Electrical,IS 5121:1972,derived_from_year,1972,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.5121.2013,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 1566,IS 1566,1566,,Hard drawn steel wire for concrete reinforcement.  – 1982,"1,1 This standard covers the requirements for hard-drawn steel wire fabric consisting of hard-drawn steel wire with cross wires electrically welded to them for use as concrete reinforcement.",scraped,True,Cement & Construction,IS 1566:1982,derived_from_year,1982,BIS Product Certification,True,public_knowledge,,Hard drawn steel wire fabric for concrete reinforcement - steel QCO framework,,https://archive.org/details/gov.in.is.1566.1982,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 1608,IS 1608,1608,,Method for Tensile testing of Steel products  – 1972,"This International Standard specifies the method for tensile testing of metallic materials and defines the mechanical properties which can be determined at ambient temperature. 2 Normative references The following standards contain provisions which, through reference in this text, constitute provisions of this International Standard. At the time of publication, the editions indicated were valid. All standards are subject to revision, and parties to agreements based on this International Standard are encouraged to investigate the possibility of applying the most recent editions of the standards indicated below. Members of l£C and ISO maintain registers of currently valid International Standards. ISO 286-2:1 988, ISO system of limits and fits — Pari 2: Tables of standard tolerance grades and limit deviations for holes and shafts. ISO 377:1997, Steel and steel products — Location and preparation of samples and test pieces for mechanical testing. ISO 2566-1 :1984, Steel — Conversion of elongation values — Part 1: Carbon and low alloy steels. ISO 2566-2:1984, Steel — Conversion of elongation values — Part 2: Austenitic steels. ISO 7500-1 :1 986, Metallic materials — Verification of static uniaxial testing machines — Part 1: Tensile testing machines. ISO 951 3: — 1 >, Metallic materials — Verification of extensometers used in uniaxial testing. 3 Principle The test involves straining a test piece by tensile force, generally to fracture, for the purpose of determining one or more of the mechanical properties defined in clause 4. The test is carried out at ambient temperature between 10 °C and 35 °C, unless otherwise specified. Tests carried out under controlled conditions shall be made at a temperature of 23 °C ± 5 °C. 1 ) To be published. (Revision of ISO 951 3: 1 989) I— 270 BIS/2008 IS 1 608 : 2005 ISO 6892 : 1998 4 Definitions For the purpose of this International Standard, the following definitions apply. 4.1 gauge",scraped,True,Metallurgy,IS 1608:1972,derived_from_year,1972,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.1608.2005,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2502:1963,IS 2502 - 1963,2502,,Code of practice for bending & fixing of bars for concrete reinforcement,Code of practice for bending & fixing of bars for concrete reinforcement,title_fallback,False,Cement & Construction,IS 2502:1963,derived_from_year,1963,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2502.1963,low,blocker,,wikipedia_civil_codes;archive_org_scope,scope_equals_title;scope_too_short (12 words);certification_not_determined;missing_amendment_count
IS 458,IS 458,458,,Specifications for pre cast concrete pipes.  – 1988,"This standard covers the requirements for reinforced and unreinforced precast cement concrete pipes, of both pressure and non-pressure varieties used for water mains, sewers, culverts and irrigation. The requirements for collars are also covered by this standard. NOTES 1 This standard covers the requirements for pressure and non-pressure pipes manufactured by spinning process and vibration casting process. 2 In addition to the requirements specified specifically for the collars, the requirements given in the following clauses shall also apply for the collars: 5.2, 5.3, 5.4, 5.5.1, 5.5.3, 5 5.4, 5.7, 5.8, 7.1, 7.2, 7.2.1, 7.2.2, 7.3, 7.3.1, 7.4, 8.2, 9.1, 9.1.1, 9.1.2, 9.1.3, 9.1.4, 12.1 and 12.2. 1.2 Prestressed concrete pipes and pipes with non-circular section are not covered by this standard.",scraped,True,Cement & Construction,IS 458:1988,derived_from_year,1988,BIS Product Certification,True,public_knowledge,,Precast concrete pipes - available under BIS product certification,,https://archive.org/details/gov.in.is.458.2021,high,minor,,wikipedia_civil_codes;archive_org_scope,missing_amendment_count
IS 3597,IS 3597,3597,,Methods of Tests for concrete pipes.  – 1985,"This standard covers methods for carrying out the following tests on concrete pipes, both reinforced concrete and prestrcsscd concrete and of pressure and non-pressure types to evaluate the properties stipulated in the relevant Indian Standards: a) Three-edge bearing test, b) Absorption test, c) Hydrostatic test, d) Permeability test, and e) Straightness test.",scraped,True,Cement & Construction,IS 3597:1985,derived_from_year,1985,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.3597.1998,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2720-1:1983,IS:2720 (Part .I) 1983,2720,1,Preparation of dry sample (soil),1.1 This standard ( Part 1 ) covers the method of preparation of dry samples from the bulk soil sample received from the field for various laboratory tests. ♦Rules for rounding off numerical values ( revistd)* 3 IS : 2720 ( Part 1 )- 1983,scraped,True,Cement & Construction,IS 2720-1:1983,derived_from_year,1983,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2720.1.1983,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
IS 2720-2:1973,IS:2720 (Part .II) 1973,2720,2,Determination of water content (moisture content),1.1 This standard ( Part 1 ) covers the method of preparation of dry samples from the bulk soil sample received from the field for various laboratory tests. ♦Rules for rounding off numerical values ( revistd)* 3 IS : 2720 ( Part 1 )- 1983,scraped,True,Water & Environment,IS 2720-2:1973,derived_from_year,1973,Not determined,,not_assessed,,,,https://archive.org/details/gov.in.is.2720.1.1983,medium,minor,,wikipedia_civil_codes;archive_org_scope,certification_not_determined;missing_amendment_count
